id	quality	length
5-2stat539	0.9300699300699301	172
5-2stat539-1	0.9060402684563759	193
5-2stat539-2	0.92	238
5-2stat540	0.9122807017543859	202
5-2stat540-1	0.9369369369369369	383
5-2stat541	0.9252032520325203	724
5-2stat542	0.9306698002350177	2017
5-2stat545	0.9249394673123487	987
5-2stat546	0.8951612903225806	145
5-2stat546-1	0.9108910891089109	242
5-2stat547	0.9044117647058824	321
5-2stat547-1	0.9172932330827067	162
5-2stat547-2	0.9285714285714286	174
5-2stat547-3	0.9054726368159204	938
5-2stat549	0.9296875	315
5-2stat549-1	0.8881922675026124	1082
5-2stat551	0.9361702127659575	225
5-2stat551-1	0.921760391198044	488
5-2stat552	0.9118942731277533	543
5-2stat552-1	0.9127906976744186	434
5-2stat553	0.9144981412639405	313
5-2stat553-1	0.9486081370449678	540
5-2stat554	0.9349112426035503	208
5-2stat554-1	0.9203354297693921	566
5-2stat555	0.9125	470
5-2stat556	0.9311740890688259	297
5-2stat556-1	0.9272727272727272	133
5-2stat556-2	0.9381443298969072	122
5-2stat557	0.8943298969072165	458
5-2stat557-1	0.9090909090909091	266
5-2stat558	0.920704845814978	2644
5-2stat561	0.9256198347107438	276
5-2stat561-1	0.9253187613843351	642
5-2stat562	0.9411764705882353	167
5-2stat562-1	0.9133165829145728	922
5-2stat563	0.9362279511533242	861
5-2stat565	0.9025764895330113	1445
5-2stat567	0.9240780911062907	2165
5-2stat569	0.9047619047619048	338
5-2stat569-1	0.9669421487603306	146
5-2stat569-2	0.9213649851632048	802
5-2stat570	0.9398797595190381	1132
5-2stat572	0.9389920424403183	1319
5-2stat574	0.9286846275752774	736
5-2stat575	0.9241379310344827	179
5-2stat575-1	0.9140083217753121	870
5-2stat576	0.8938356164383562	345
5-2stat577	0.9331619537275064	914
5-2stat578	0.9405405405405406	214
5-2stat578-1	0.9204018547140649	1502
5-2stat580	0.9256756756756757	175
5-2stat580-1	0.9222665148063781	8270
5-2stat591	0.9258202567760342	2519
5-2stat594	0.9369797859690844	1016
5-2stat596	0.9411764705882353	102
5-2stat596-1	0.9206106870229007	783
5-2stat597	0.9266075891842763	5096
5-2stat604	0.9356300997280145	1319
5-2stat605	0.9229843561973526	940
5-2stat607	0.9358669833729216	485
5-2stat607-1	0.912962962962963	624
5-2stat608	0.9224137931034483	142
5-2stat608-1	0.9411764705882353	145
5-2stat608-2	0.8916256157635468	240
5-2stat609	0.9013157894736842	176
5-2stat609-1	0.9232954545454546	410
5-2stat610	0.925686591276252	721
5-2stat611	0.9213759213759214	489
5-2stat611-1	0.9245283018867925	192
5-2stat612	0.9426229508196722	145
5-2stat612-1	0.8863636363636364	155
5-3stat613	0.9003322259136213	353
5-3stat613-1	0.9100678733031674	2052
5-3stat616	0.9198473282442748	603
5-3stat617	0.907563025210084	147
5-3stat617-1	0.9032258064516129	613
5-3stat618	0.9162303664921466	222
5-3stat618-1	0.9080882352941176	329
5-3stat619	0.9214659685863874	441
5-3stat619-1	0.9217081850533808	1619
5-3stat621	0.9347826086956522	547
5-3stat622	0.9318181818181818	105
5-3stat622-1	0.9292035398230089	131
5-3stat622-2	0.9325490196078431	1523
5-3stat624	0.9307692307692308	155
5-3stat624-1	0.9285714285714286	1850
5-3stat626	0.9123867069486404	396
5-3stat627	0.9315068493150684	175
5-3stat627-1	0.9233969358774351	58317
5-3stat704	0.9246193835870776	3274
5-3stat709	0.9369978086194303	6377
5-3stat717	0.9358846918489065	2345
5-3stat720	0.9470198675496688	174
5-3stat721	0.9191564147627417	1320
5-3stat723	0.9172932330827067	777
5-3stat724	0.93048128342246	223
5-3stat724-1	0.9312977099236641	460
5-3stat725	0.9164750957854406	1532
5-3stat727	0.9282868525896414	577
5-3stat727-1	0.9234972677595629	210
5-3stat728	0.934351145038168	763
5-3stat729	0.9344262295081968	362
5-3stat729-1	0.936	149
5-3stat729-2	0.9621848739495799	297
5-3stat730	0.9285714285714286	115
5-3stat730-1	0.9362244897959183	926
5-3stat731	0.9107142857142857	203
5-3stat732	0.9263565891472868	623
5-3stat733	0.9357918999012184	7046
5-3stat741	0.9378531073446328	838
5-3stat743	0.9333333333333333	239
5-3stat743-1	0.9274440518256772	4966
5-3stat749	0.9375	94
5-3stat749-1	0.9284731774415406	4252
5-3stat755	0.8909090909090909	129
5stat520	0.946236559139785	316
5stat520-1	0.9438543247344461	776
5stat521	0.9224489795918367	278
5stat522	0.9129511677282378	567
5stat523	0.9278846153846154	249
5stat523-1	0.9098360655737705	435
5stat523-2	0.9411326378539493	1620
5stat525	0.9224137931034483	138
5stat526	0.9336569579288025	715
5stat527	0.912621359223301	127
5stat527-1	0.9390581717451524	4657
5stat533	0.9178082191780822	84
5stat533-1	0.9493670886075949	90
5stat533-2	0.9316239316239316	142
5stat533-3	0.9278846153846154	485
5stat534	0.9262295081967213	285
