id	score	length
1stat96-2	-0.5818160484577047	1276
1stat97	-0.560529619733864	321
1stat97-1	-0.5879477062779226	6715
1stat98	-0.6432325297603826	611
2-2stat287	-0.5675390805989639	71223
2-2stat299	-0.6256518335399514	1002
2-2stat299-1	-0.6040722615010029	1184
2-2stat300	-0.56379643213817	5429
2-2stat301	-0.5806749555138455	3846
2-2stat302	-0.5947651797120677	6360
2-2stat305	-0.5709801836310441	77928
2-2stat318	-0.5527575831488817	1073
2-2stat318-1	-0.6075473820746837	1403
2-2stat318-2	-0.5492625993601821	17251
2-2stat324	-0.6217083941449176	910
2-2stat324-1	-0.592657707732858	2060
2-2stat324-2	-0.5721664015134629	7010
2-2stat325	-0.6008731358315359	19936
2-2stat329	-0.5606166176314673	17685
2-2stat332	-0.6728119510539764	6262
2-2stat333	-0.6403920163390457	1209
2-2stat333-1	-0.5541702748071922	11151
2-2stat335	-0.5747015542411434	6196
2-2stat336	-0.5625804044264588	8757
2-2stat338	-0.6219776372199797	1169
2-2stat338-1	-0.5975153804604524	2448
2-2stat339	-0.6063256666227036	2014
2-2stat339-1	-0.6086317337722823	6844
2-2stat340	-0.6028213709619986	1097
2stat226	-0.579634354347083	1097
2stat226-1	-0.5872980017917409	13482
2stat229	-0.5786064799883625	1732
2stat229-1	-0.6020133429183315	1658
2stat229-2	-0.5816283826320375	16927
2stat232	-0.59212461510948	40190
2stat239	-0.582207315327833	10863
2stat241	-0.6097088699190537	12184
2stat243	-0.6017983024889003	2196
2stat243-1	-0.5856500811746556	8710
2stat245	-0.575435454198856	2961
2stat246	-0.6006978926287697	887
2stat251	-0.5929754777091356	2337
2stat251-1	-0.5612318528318601	1711
2stat252	-0.595126932224786	1869
2stat252-1	-0.5704690651660941	6476
2stat253	-0.6008764286541477	1754
2stat254	-0.5616315811251978	16426
2stat257	-0.5774558657365905	6693
2stat258	-0.581110882100071	3871
2stat259	-0.5998892167188794	27771
2stat264	-0.5548131609837809	9757
2stat265	-0.6031646388676225	4490
2stat266	-0.6058387827650409	4280
2stat267	-0.7488365665105605	543
2stat267-1	-0.5679284926907374	23147
2stat271	-0.6030735481766871	16433
2stat275	-0.6571551114558413	1881
2stat275-1	-0.566714948349858	19718
2stat279	-0.5573243373985725	11523
2stat281	-0.5411921752351732	12039
2stat283	-0.5868949036679025	2950
2stat284	-0.5904881949376578	990
2stat284-1	-0.6050405131042594	6961
2stat285	-0.5525413504133304	3372
3-2stat403	-0.604360707990365	1959
3-2stat403-1	-0.5885002803439876	1578
3-2stat404	-0.5789797772320125	1713
3-2stat404-1	-0.6094744447902072	1249
3-2stat404-2	-0.6346821895454414	4316
3-2stat405	-0.6415971430303139	13921
3-2stat408	-0.6138328792802646	6914
3-2stat409	-0.6074754189197686	1491
3-2stat409-1	-0.6119469250845718	1127
3-2stat410	-0.5901136005214215	1771
