term,jsd,count_early,count_modern,neighbours,scaled_jsd
teaspoon,0.9570961261181569,3,3997,3272,0.9776894865525673
pissed,0.9699956227332761,37,2321,2672,0.9775449101796407
ensemble,0.9624247817196633,18,3982,3756,0.9773695420660277
coca,0.9678694775430103,10,3568,3379,0.977212192956496
miu,0.9843083900706113,14,331,438,0.9771689497716894
tensions,0.9622731455181325,10,3990,3804,0.9768664563617245
factors,0.9388906515745035,54,3946,1741,0.9764503159103963
meter,0.9591455272444696,4,3996,3820,0.9764397905759162
slot,0.9642714371714618,23,3977,3647,0.9764189744995887
normal,0.9464004286753098,2,3998,2073,0.9763627592860589
economies,0.9560145828205228,4,3996,3819,0.9761717727153705
asset,0.9604299721950188,24,3976,3806,0.9760903836048345
2012,0.9537399427365792,3,3997,2383,0.9760805707091901
faked,0.978101236921206,6,650,832,0.9759615384615384
kicker,0.9765791211317078,4,1160,1452,0.9758953168044077
coliseum,0.976561827412587,3,985,1239,0.9757869249394673
category,0.9514486176783709,3,3997,3022,0.9755129053606882
chaney,0.9791624621059186,7,604,774,0.975452196382429
grab,0.9549530657281531,4,3996,3655,0.9753761969904241
tourists,0.9575364537212513,2,3998,3800,0.9752631578947368
cbm,0.9716563392961595,7,1505,1879,0.9749866950505588
focus,0.9339028089560812,13,3987,1396,0.9749283667621776
sustainable,0.9526452338013073,6,3994,3857,0.9748509204044594
calculus,0.9756033262285261,16,1224,1549,0.9748224661071659
chic,0.9662118702847639,15,2977,3089,0.9747491097442538
caller,0.9666931413840567,4,2484,2770,0.9747292418772563
trend,0.9507942767320952,5,3995,3161,0.9746915533059158
linear,0.9502591887781354,13,3987,3822,0.9746206174777603
films,0.9507023363779747,27,3973,3048,0.9744094488188977
diced,0.9623530097726988,19,3373,3290,0.9741641337386018
investors,0.9569996981358786,1,3999,2822,0.97413182140326
weird,0.9566778103715219,2,3998,3781,0.9740809309706426
tanks,0.9483989271001002,5,3995,3838,0.9739447628973423
potentially,0.9527833349085715,2,3998,3297,0.9739156809220504
ipo,0.9750956671113693,18,958,1225,0.9738775510204082
cops,0.9532545849887296,7,3993,3815,0.9737876802096985
background,0.9473820516091636,5,3995,2510,0.9737051792828685
hp,0.9540212209258165,77,3923,3726,0.9736983360171766
target,0.9459644238351922,5,3995,2279,0.973672663448881
research,0.8696477194071884,6,3994,452,0.9734513274336283
locus,0.9648358410301198,35,2464,2778,0.9733621310295176
hillary,0.9459268697000329,55,3945,3827,0.9733472694016201
prep,0.9460195980951777,17,3983,3864,0.973343685300207
abc,0.954786549622899,14,3986,3749,0.9733262203254202
priorities,0.9454092840042976,14,3986,3846,0.9732189287571503
goals,0.9389823840990499,39,3961,2161,0.973160573808422
tess,0.9718461087414852,10,1587,1967,0.9730554143365532
budget,0.9354069306568491,16,3984,2031,0.9729197439684885
personnel,0.9466921379127644,4,3996,3173,0.9728963126378821
coping,0.949440151175333,12,3988,3823,0.9727962333246142
implementation,0.9468439010989654,2,3998,3279,0.9725526075022873
container,0.9451833889151483,3,3997,3821,0.9725202826485213
grad,0.9700487991000198,11,1829,2204,0.9723230490018149
homers,0.9612020860244684,21,2250,2589,0.9721900347624566
bus,0.9430504438568512,36,3964,2586,0.9721577726218097
taut,0.9678452631008267,9,1922,2296,0.9721254355400697
ego,0.9473441851581529,74,3926,3800,0.9721052631578947
concrete,0.9402133061663628,9,3991,3087,0.9718172983479106
chanel,0.9695394228691483,68,1789,2218,0.9715960324616771
tackles,0.9606064951729297,26,2732,2952,0.9715447154471545
desy,0.9958707183436393,10,58,70,0.9714285714285714
issues,0.8754638765359314,93,3907,1083,0.971375807940905
fuchs,0.9613254238907327,6,2087,2443,0.9713467048710601
role,0.8715005003746434,9,3991,942,0.9713375796178344
utilities,0.9465816663911688,7,3993,3782,0.9711792702273929
basic,0.9319712658899691,3,3997,1902,0.9710830704521556
