term,jsd,count_legal,count_popular,neighbours,scaled_jsd
letters,0.4611307832270994,1333,2667,985,0.5461928934010152
prejudice,0.4990482686060822,713,3287,2997,0.5452118785452119
duty,0.44937355680853447,1561,2439,415,0.5445783132530121
uniform,0.5181121792710943,1058,2034,3461,0.5437734758740248
once,0.44702328297394106,412,3588,634,0.5425867507886435
infamous,0.5487386822437501,152,1683,4115,0.5421628189550425
least,0.44742106382592556,694,3306,593,0.5396290050590219
meet,0.457058689534997,941,3059,902,0.5388026607538803
one,0.479127506583131,1151,2849,52,0.5384615384615384
continuance,0.48771377805678323,1490,2510,2478,0.5383373688458434
absent,0.515317085360031,1151,2014,3429,0.5377661125692622
free,0.445510385539665,748,3252,594,0.5336700336700336
bail,0.5146835401967014,2178,955,3450,0.5327536231884058
claims,0.4735065214665994,2321,1679,1809,0.5317855168601437
desire,0.45521944163673334,551,3449,915,0.5300546448087432
blessings,0.47840451056366573,205,3795,2122,0.5235626767200754
raise,0.4701152717982635,944,3056,1712,0.5233644859813084
seas,0.5026947317559096,868,2583,3287,0.5232735016732583
whose,0.44243259658420897,529,3471,419,0.5202863961813843
recess,0.5573426817656154,701,715,4190,0.5171837708830549
junction,0.6075575220020045,117,601,3330,0.5159159159159159
proceed,0.4541455619131455,1429,2571,1038,0.5144508670520231
discharge,0.45811591782684913,1915,2085,1357,0.5136330140014739
test,0.5376144291953202,388,1468,4110,0.5136253041362531
ordain,0.5643123596324792,282,932,4137,0.5114817500604303
due,0.44038290910112043,2112,1888,554,0.5108303249097473
agree,0.4623548949523208,2145,1855,1478,0.5074424898511503
privileged,0.6562644622819924,109,279,2027,0.5046867291563888
delivered,0.44796006790852666,1528,2472,953,0.5026232948583421
services,0.4637586065898016,2061,1939,1540,0.5025974025974026
searches,0.6901350793698496,49,221,1423,0.5024595924104006
establishment,0.46620066065549837,1561,2439,1807,0.5013835085777532
taxed,0.5220341142786882,1255,1038,3929,0.5008908119114278
drawn,0.4516932368175292,1411,2589,1247,0.5004009623095429
subject,0.4396215547786994,1185,2815,376,0.5
laws,0.44362885643850125,1702,2298,332,0.5
sent,0.4373504382172105,735,3265,560,0.5
the,0.4951923958546893,1291,2709,2,0.5
court,0.44653807943520013,2772,1228,150,0.5
governing,0.5517317455394205,328,1053,4182,0.4997608799617408
arts,0.47002955649074024,334,3666,2149,0.498371335504886
rebellion,0.5006477266192428,449,2542,3516,0.49829351535836175
trial,0.4496275187594356,1677,2323,1215,0.49547325102880657
holding,0.46928453178999563,2116,1884,2196,0.4949908925318761
whereof,0.46849256314297083,1797,2203,2019,0.4947994056463596
executed,0.46880708389661263,1584,2416,2194,0.49225159525979945
duties,0.43651990143125113,2060,1940,741,0.49122807017543857
present,0.4424670736115392,1220,2780,226,0.4911504424778761
disagreement,0.6057792908604676,364,243,2976,0.4899193548387097
chosen,0.44781846860724644,1655,2345,1229,0.4882017900732303
sealed,0.5246383736587771,637,1299,4098,0.4873108833577355
rules,0.45886947566183156,1734,2266,1583,0.48704990524320907
manner,0.4380047072905248,1391,2609,267,0.4868913857677903
needful,0.534036459116478,286,1398,4166,0.485597695631301
composed,0.4689626317559461,528,3472,2584,0.48335913312693496
concerning,0.44425121509652793,919,3081,1190,0.4831932773109244
contracted,0.4958040420701697,807,2273,3461,0.48309737070210923
thousand,0.4366445852327795,1962,2038,441,0.48299319727891155
also,0.4412340072906747,1032,2968,189,0.48148148148148145
business,0.4346245676378564,1152,2848,564,0.4804964539007092
places,0.43694828498158256,1042,2958,807,0.4795539033457249
encreased,0.5671988307902043,63,953,3937,0.4792989585979172
term,0.44785533054121524,2487,1513,1330,0.4774436090225564
at,0.5028282385536301,902,3098,44,0.4772727272727273
secrecy,0.5395452839312477,381,1058,4198,0.4761791329204383
reserved,0.488486326094967,1197,2103,3359,0.473652872878833
unusual,0.5349400814134002,165,1343,4216,0.47343453510436434
pardons,0.6336974824644594,113,305,2171,0.47305389221556887
excepted,0.47991784470476445,1677,1990,3185,0.46938775510204084
first,0.4407615822681573,905,3095,130,0.46923076923076923
found,0.4352887991417518,800,3200,307,0.46905537459283386
retained,0.5070610378068406,727,1650,3871,0.46887109274089384
preside,0.5643796919534744,230,692,3808,0.46034663865546216
consideration,0.42980842173714207,2088,1912,671,0.45752608047690013
profit,0.46685087711639794,801,3199,2919,0.45597807468311063
its,0.4408534622674013,630,3370,112,0.45535714285714285
therein,0.43400248887007137,2391,1609,898,0.45434298440979953
adding,0.5003651147506863,633,1763,3860,0.45414507772020724
receipts,0.48899605418656256,2186,648,3602,0.45113825652415324
mentioned,0.4318984998219731,1865,2135,524,0.45038167938931295
certify,0.5061134296974305,1484,670,3981,0.4501381562421502
another,0.43386977488594347,699,3301,300,0.45
describing,0.552424441555228,246,780,3950,0.44936708860759494
ever,0.4325369051512046,367,3633,296,0.44932432432432434
amendment,0.4481719025740031,3340,660,1774,0.44532130777903045
raising,0.4546587634399118,1508,2492,2420,0.44421487603305787
longer,0.4329979735489274,697,3303,1066,0.4427767354596623
roads,0.4543998945975763,2336,1664,2267,0.44243493603881784
after,0.4351916939374742,1086,2914,104,0.4423076923076923
representation,0.4531948857365127,1889,2111,2166,0.44182825484764543
persons,0.4354321464897917,1826,2174,209,0.44019138755980863
borrow,0.5130972273766262,811,965,4142,0.44012554321583774
immediately,0.4244623350010459,759,3241,625,0.44
enjoy,0.44238113489946274,653,3347,1484,0.4380053908355795
title,0.4403706972667354,1375,2625,1460,0.43767123287671234
charged,0.4500662378812288,1899,2101,1926,0.43665628245067495
equity,0.46191139810661436,1943,2057,3021,0.4346242965905329
oath,0.43115670257347305,2614,1386,1031,0.4335596508244423
on,0.49499906730842075,1237,2763,30,0.43333333333333335
whatsoever,0.44322274885143625,2043,1957,1618,0.43325092707045737
going,0.43107318347312273,562,3438,1103,0.43245693563009974
preserved,0.45301622169869377,474,3526,2564,0.43174726989079565
follows,0.4424456218536765,1766,2234,1556,0.43123393316195374
maryland,0.43169692786576835,2157,1843,1275,0.43058823529411766
honor,0.42716905491713714,457,3543,556,0.42985611510791366
liberty,0.42715138398795516,641,3359,461,0.42733188720173537
science,0.45636147546408395,198,3802,2936,0.4271117166212534
powers,0.4243690214692506,1656,2344,651,0.4270353302611367
bankruptcies,0.7058775076856207,52,81,703,0.42532005689900426
liable,0.44217939938503753,2419,1581,1609,0.42510876320696084
courts,0.428604257117755,2594,1406,854,0.42505854800936765
cases,0.42450238487451064,1862,2138,698,0.42406876790830944
our,0.46990525306078246,521,3479,52,0.4230769230769231
next,0.42756789695634356,1430,2570,289,0.42214532871972316
inability,0.5128393459435464,466,1142,4188,0.42191977077363896
freedom,0.4303459980759712,389,3611,1297,0.41942945258288356
upon,0.45503320302403194,974,3026,74,0.4189189189189189
offices,0.439038363431338,1936,2064,1712,0.4182242990654206
proceedings,0.4277612617941023,2154,1846,1244,0.41559485530546625
claim,0.430813275271221,1465,2535,1359,0.41501103752759383
wherein,0.43871305491910884,1251,2749,1679,0.41453245979749853
any,0.4712238484764808,1728,2272,46,0.41304347826086957
