term,jsd,count_legal,count_popular,neighbours,scaled_jsd
tall,0.9150581335527768,199,1301,4209,0.9847944880019007
song,0.8489077915144891,7,3993,2273,0.9846018477782666
refreshing,0.946834477908782,4,702,3294,0.9845173041894353
palm,0.9446973360065906,16,639,3153,0.9844592451633365
louisa,0.9052863235670147,13,1957,4077,0.9838116261957321
heare,0.993467106321647,4,102,554,0.983754512635379
scripture,0.8284531354389497,8,3992,1827,0.9835796387520526
bride,0.9203790230789074,26,1197,4141,0.983578845689447
tears,0.8254671616715782,19,3981,1766,0.9835787089467724
ye,0.790496111957642,176,3824,668,0.9835329341317365
hast,0.8406490804947451,4,3996,2300,0.9834782608695652
1h,0.9751508423096525,304,6,1631,0.9834457388105456
sire,0.9301332626476566,27,892,3799,0.9834166886022637
fold,0.8509447092579261,3084,916,2649,0.9833899584748962
barnwell,0.9424411570716088,129,580,3303,0.9833484710868907
culls,0.9969907383779519,9,27,179,0.9832402234636871
dim,0.9397448631722313,70,603,3203,0.9831408054948486
aloft,0.963659717243663,4,443,2308,0.983102253032929
ovid,0.9771844604482025,47,218,1398,0.9828326180257511
sad,0.8625036995848211,172,3828,3021,0.982787156570672
breathing,0.9193761883929684,3,1205,4124,0.9827837051406402
ball,0.8509028536404148,2042,1958,2612,0.9827718223583461
christ,0.7700216855859858,7,3993,289,0.9826989619377162
coloured,0.8396153221065122,14,3986,2251,0.9826743669480231
grove,0.8982894605266823,360,1705,4037,0.9826603913797374
sess,0.9389260769582974,683,17,3278,0.9826113483831604
tb,0.9138912164998397,1380,4,4185,0.9825567502986858
joy,0.7859442263795776,30,3970,1196,0.9824414715719063
mouse,0.9734249110120897,7,329,1764,0.9824263038548753
ll,0.781166848446846,592,3408,1306,0.9823889739663093
fool,0.8915129705272805,15,2257,3945,0.982256020278834
caroline,0.897691319017284,167,1831,4056,0.9822485207100592
adt,0.9189857078186163,1136,3,4051,0.9822266107134041
tender,0.795174942481578,478,3522,1455,0.9821305841924398
tc,0.9337547996806682,833,3,3631,0.9820985954282567
jesus,0.7840590955759132,6,3994,834,0.9820143884892086
powr,0.9999999999999999,19,7,109,0.981651376146789
holiness,0.8445453240108556,3,3997,2549,0.9815613966261278
paused,0.9443799294842687,5,570,2837,0.9813182939725061
flowers,0.8724398511812069,42,3212,3368,0.9812945368171021
hairy,0.992319351418356,5,146,797,0.9811794228356336
chapter,0.8094461302164336,1992,2008,1946,0.9809866392600206
fie,0.9281293243769749,658,192,3662,0.9808847624249044
flail,0.9744265157438079,244,53,1566,0.9808429118773946
ante,0.9212161393032264,859,63,3808,0.9808298319327731
bc,0.9025424915909825,1668,15,4166,0.9807969275084013
juice,0.9039031201430314,44,1421,4207,0.9805086760161635
verse,0.8788162054506272,25,2654,3673,0.9801252382248843
secures,0.830656402765496,64,3936,2359,0.98007630351844
leafed,0.9901699315122238,157,4,849,0.9799764428739693
sele,0.9378453440198241,601,7,2982,0.9798792756539235
fitch,0.8814646271216989,2176,191,3876,0.9796181630546955
comi,0.9926874081049193,69,6,391,0.979539641943734
merry,0.8987101407033706,22,1554,4198,0.9795140543115769
eruption,0.9152629936489554,4,1014,3938,0.9794311833417979
subscriber,0.7833235522822927,46,3954,1067,0.979381443298969
hate,0.8769412929041402,280,2390,3680,0.9793478260869565
wand,0.934365951299036,19,611,3071,0.9788342559426897
hates,0.9550350363458573,20,420,2279,0.9784993418165863
morn,0.8881665329605706,14,1887,4094,0.9782608695652174
flatt,0.9780124677298427,14,213,1196,0.9782608695652174
ad,0.7788105160592004,3795,205,866,0.9780600461893765
prose,0.9526648147417872,52,399,2323,0.9780456306500215
soft,0.8380905567070283,41,3959,2730,0.978021978021978
bit,0.9078822193930862,205,1005,4128,0.9779554263565892
ere,0.8529083066259672,1112,2455,3235,0.9777434312210201
tail,0.8551511313663432,366,3123,3262,0.977621091354997
prov,0.9062862342185946,275,894,4085,0.9774785801713586
fevers,0.8717490839780551,9,2726,3654,0.9770114942528736
fulness,0.9034153758213365,9,1258,4162,0.9769341662662182
compassionate,0.9233526076482551,12,727,3377,0.976606455433817
vein,0.9360933671377379,6,543,2734,0.9765910753474762
woo,0.9764128418688948,24,211,1238,0.9765751211631664
